id,title,description,price,product_type,category,occasion,subcategory,color,image_url,occassion,combined_features
28477,Urban Yoga Women Printed Purple Kurta,"Urban Yoga Women Printed Purple Kurta — Kurtas, Purple, Ethnic",334,kurti,womenswear,festival,topwear,Purple,http://assets.myntassets.com/v1/images/style/properties/8485f585f82c980144429e3fbadccab4_images.jpg,,"Urban Yoga Women Printed Purple Kurta Urban Yoga Women Printed Purple Kurta — Kurtas, Purple, Ethnic womenswear topwear Purple kurti"
12532,Puma Women Solid Black Jackets,"Puma Women Solid Black Jackets — Jackets, Black, Casual",406,jacket,womenswear,,topwear,Black,http://assets.myntassets.com/v1/images/style/properties/0bf90e10c420094757095e91511f061e_images.jpg,casual,"Puma Women Solid Black Jackets Puma Women Solid Black Jackets — Jackets, Black, Casual womenswear topwear Black jacket"
9966,Nike Women As Statement White T-Shirts,"Nike Women As Statement White T-Shirts — Tshirts, White, Sports",565,jeans,womenswear,,topwear,White,http://assets.myntassets.com/v1/images/style/properties/56b1402e1f467eaddec5e140e77509d4_images.jpg,party,"Nike Women As Statement White T-Shirts Nike Women As Statement White T-Shirts — Tshirts, White, Sports womenswear topwear White jeans"
58208,New Hide Men Brown Belt,"New Hide Men Brown Belt — Belts, Brown, Casual",197,belt,menswear,,belts,Brown,http://assets.myntassets.com/v1/images/style/properties/New-Hide-Men-Brown-Belt_5eca6f9e133fc8c2acae2ffb11c389f8_images.jpg,casual,"New Hide Men Brown Belt New Hide Men Brown Belt — Belts, Brown, Casual menswear belts Brown belt"
30591,Nike Unisex Federer Blue Cap,"Nike Unisex Federer Blue Cap — Caps, Blue, Sports",354,cap,menswear,,headwear,Blue,http://assets.myntassets.com/v1/images/style/properties/9f3dbe56179ba89ce712d63d2866f3df_images.jpg,casual,"Nike Unisex Federer Blue Cap Nike Unisex Federer Blue Cap — Caps, Blue, Sports menswear headwear Blue cap"
31221,Puma Women Black Capris,"Puma Women Black Capris — Capris, Black, Casual",399,jeans,womenswear,,bottomwear,Black,http://assets.myntassets.com/v1/images/style/properties/e33337627de45a6df76c963592eb778b_images.jpg,casual,"Puma Women Black Capris Puma Women Black Capris — Capris, Black, Casual womenswear bottomwear Black jeans"
43065,Nike Men Grey Striped T-shirt,"Nike Men Grey Striped T-shirt — Tshirts, Grey, Casual",406,shirt,menswear,,topwear,White,http://assets.myntassets.com/v1/images/style/properties/8ef6b29dbd52a1bf5e5674dd6ccff1a9_images.jpg,casual,"Nike Men Grey Striped T-shirt Nike Men Grey Striped T-shirt — Tshirts, Grey, Casual menswear topwear White shirt"
12346,Samsung Galaxy A36 5G,"Samsung Galaxy A36 5G — Smartphone, Black, Casual",33499,smartphones,smartphone,casual,smartphone,Black,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTJmTD1rXYLL5Z-oy964_pw7_a5AfTZeP5R-UX7WBPI8Q6U8BJMske3sadWKpqh-kxsuI7Rczuzpyhw47k2lugvw6kDEstTGjlbVCeN2ACmd-gcSdNYcJog,,"Samsung Galaxy A36 5G Samsung Galaxy A36 5G — Smartphone, Black, Casual smartphone smartphone Black smartphones"
12345,Samsung Galaxy A36 5G,"Samsung Galaxy A36 5G — Smartphone, Black, Casual",33499,smartphones,mobile,casual,smartphone,Black,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTJmTD1rXYLL5Z-oy964_pw7_a5AfTZeP5R-UX7WBPI8Q6U8BJMske3sadWKpqh-kxsuI7Rczuzpyhw47k2lugvw6kDEstTGjlbVCeN2ACmd-gcSdNYcJog,,"Samsung Galaxy A36 5G Samsung Galaxy A36 5G — Smartphone, Black, Casual mobile smartphone Black smartphones"
2001,iPhone 17 Pro Max,iPhone 17 Pro Max — 17.4 cm (6.9″) display,149900,mobile,mobile,casual,,Orange,https://store.storeimages.cdn-apple.com/1/as-images.apple.com/is/iphone-17-pro-finish-select-202509-6-9inch-cosmicorange?wid=5120&hei=2880&fmt=webp&qlt=90&.v=NUNzdzNKR0FJbmhKWm5YamRHb05tUzkyK3hWak1ybHhtWDkwUXVINFc0RnVrUzFnTVVSUnNLVnZUWUMxNTBGaGhsQTdPYWVGbmdIenAvNE9qYmZVYVFDb1F2RTNvUEVHRkpGaGtOSVFHak5NTEhXRE11VU1QNVo2eDJsWlpuWHQyaWthYXpzcEpXMExJLy9GTE9wWkNn&traceId=1,,iPhone 17 Pro Max iPhone 17 Pro Max — 17.4 cm (6.9″) display mobile  Orange mobile
